species,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,chroma,spectral_contrast,spectral_bandwidth,spectral_centroid,spectral_rolloff,zero_crossing_rate,rmse,tempo
common_dolphin,-2.631711,-2.173527,-1.9773289,-1.8243868350982666,-1.6092020273208618,-1.554282546043396,-1.5377649068832397,-1.052654504776001,-1.4407861232757568,-1.877905249595642,-1.0785633325576782,-1.1061532497406006,-1.753091812133789,-1.8278751373291016,-1.8275943994522095,-2.3277482986450195,-2.6683578491210938,-2.6078314781188965,-2.7116360664367676,-2.2539491653442383,-2.214277982711792,-2.2988600730895996,-2.1305885314941406,-2.054198741912842,-1.9918721914291382,-1.945235252380371,-1.9188661575317383,-2.3001363277435303,-2.4299428462982178,-2.131743907928467,-2.090092182159424,-2.2679622173309326,-1.9180787801742554,-2.118457555770874,-2.5118138790130615,-2.311728000640869,-2.1219239234924316,-2.173535108566284,-2.52053165435791,-2.467550277709961,0.7699517,0.6619227857756851,0.8153057066570003,0.5356666885710956,0.8186200535613909,0.297984822797155,0.06433094,0.5
common_dolphin,-2.8177807,-2.2836246,-2.3087602,-2.522259473800659,-2.5664334297180176,-2.3850748538970947,-2.4353253841400146,-2.3907787799835205,-1.9529473781585693,-2.4041848182678223,-2.379135847091675,-2.009932518005371,-1.8456369638442993,-2.107205867767334,-2.1403090953826904,-2.486279249191284,-2.265796422958374,-1.90553879737854,-1.8887649774551392,-1.957956314086914,-2.285275936126709,-2.2446913719177246,-2.076401948928833,-1.8819820880889893,-2.0077877044677734,-2.356764078140259,-2.3187811374664307,-2.3125083446502686,-2.137021064758301,-2.2148661613464355,-1.4172595739364624,-1.10321843624115,-1.602238416671753,-2.1239943504333496,-1.7055953741073608,-1.4636398553848267,-1.8931515216827393,-1.4561303853988647,-1.2696640491485596,-1.5409564971923828,0.9011283,0.659937498753032,0.8106914861252562,0.39013390312101154,0.734053975370462,0.12871034319007874,0.03405723,0.4090909090909091
common_dolphin,-0.7749294,-0.07573955,-0.1866225,-0.16535720229148865,-0.20089928805828094,-0.14553475379943848,-0.25681716203689575,-0.12563014030456543,-0.10050942748785019,-0.2709999680519104,-0.12084026634693146,0.036956071853637695,0.11240170150995255,0.006005650851875544,0.000370347494026646,-0.012103420682251453,-0.13154926896095276,0.018337924033403397,0.008473515510559082,-0.128106027841568,-0.04089507460594177,-0.3161781430244446,-0.580349326133728,-0.3837570250034332,-0.29748257994651794,-0.22205086052417755,-0.3060724437236786,-0.41334885358810425,-0.5058446526527405,-0.24387159943580627,-0.023352842777967453,-0.3513699471950531,-0.7008158564567566,-0.6445080637931824,-0.06383471190929413,0.06214653328061104,0.06368986517190933,0.07479745149612427,0.0032302916515618563,-0.06940769404172897,0.5114883,0.6884414763029157,0.7558190666756199,0.2898970444473687,0.6220075595312137,0.11225958750204883,0.1733275,0.45
common_dolphin,-0.9192792,-0.28477103,-0.08235143,-0.11156455427408218,-0.2824394106864929,-0.6487308740615845,-0.4798421263694763,-0.24888141453266144,-0.018996214494109154,-0.3850845992565155,-0.43753582239151,-0.26396897435188293,-0.4379769265651703,-0.4590040147304535,-0.23908953368663788,-0.4571325182914734,-0.3829551041126251,-0.30930760502815247,-0.5208953619003296,-0.4750070571899414,-0.4169573187828064,-0.6550132632255554,-0.7281826138496399,-0.4192909300327301,-0.47692593932151794,-0.42738333344459534,-0.15516817569732666,0.06446291506290436,-0.1054798811674118,-0.36996549367904663,-0.7365407347679138,-0.4616391658782959,-0.48352494835853577,-0.36038777232170105,-0.13423457741737366,-0.08207951486110687,-0.18076583743095398,-0.188129261136055,-0.13321292400360107,-0.5298185348510742,0.57789266,0.6804737540559449,0.7351381362317311,0.2726024805780062,0.5760596066427386,0.09174287749473592,0.17339045,0.45
common_dolphin,-2.8526902,-2.6427865,-2.4555688,-2.5169222354888916,-2.7205772399902344,-2.446180820465088,-2.6337039470672607,-2.202711820602417,-2.1772055625915527,-2.5114235877990723,-2.0562572479248047,-1.5419940948486328,-1.2797250747680664,-1.5586601495742798,-1.7641963958740234,-1.5910208225250244,-1.9077322483062744,-1.7683336734771729,-2.068721294403076,-1.839455246925354,-1.5202269554138184,-1.708475112915039,-1.7501537799835205,-1.806125283241272,-1.895592451095581,-1.403120756149292,-0.9579280614852905,-1.270187497138977,-1.946227788925171,-2.2949395179748535,-2.536533832550049,-2.255127191543579,-2.1554319858551025,-2.0515987873077393,-2.0175204277038574,-2.0174126625061035,-2.1330490112304688,-2.0060536861419678,-1.9692907333374023,-1.7907741069793701,0.6126258,0.6847965952400762,0.7882912537146227,0.6439067733443126,0.8411566243235287,0.5271682690542621,0.13986345,0.45
common_dolphin,-0.08690518,0.34734148,0.23639996,-0.42681217193603516,-1.4342241287231445,-1.3287146091461182,-1.5395113229751587,-1.4997776746749878,-1.0617440938949585,-0.8246452212333679,-0.7411566972732544,-0.530373752117157,-0.859089732170105,-1.2134182453155518,-0.7439481019973755,-0.49702078104019165,-0.8379650115966797,-0.8266364932060242,-0.811676025390625,-0.912175178527832,-0.9217726588249207,-1.1130187511444092,-2.3544814586639404,-2.3668742179870605,-2.0570316314697266,-1.9424116611480713,-1.5214606523513794,-1.8070557117462158,-2.3036274909973145,-1.965354561805725,-1.8123315572738647,-2.3301005363464355,-2.0696375370025635,-2.2497167587280273,-2.0159785747528076,-1.9428541660308838,-1.7089881896972656,-1.3622175455093384,-2.085906505584717,-2.623049736022949,0.9011816,0.6110662821537725,0.8173165114990039,0.6053530053663002,0.8563029491397128,0.20041582193323715,0.05882296,0.5294117647058824
common_dolphin,-0.20173272,0.29847974,0.5262139,0.4633895754814148,0.46776413917541504,0.3652171790599823,0.5560119152069092,0.5755239725112915,0.5208634734153748,0.566064715385437,0.42681366205215454,0.2823578417301178,0.38853248953819275,0.5189692378044128,0.6047773957252502,0.46864357590675354,0.5991520285606384,0.6083091497421265,0.7224677205085754,0.9093465805053711,1.0181478261947632,0.9545398950576782,0.6415608525276184,0.5927609205245972,0.5224059820175171,0.6696136593818665,1.2081778049468994,1.1103712320327759,0.9720085263252258,0.9058926701545715,0.8470810055732727,0.9123740196228027,0.7910621166229248,0.8644172549247742,0.719828188419342,0.9928333163261414,1.024479866027832,0.955083966255188,0.7890785932540894,0.6847260594367981,0.54877317,0.7166231711013195,0.6571025933048422,0.2489060058160487,0.4908834314943396,0.0896726674116834,0.29267967,0.42857142857142855
common_dolphin,-1.3238691,-0.54155266,-0.378515,-0.4885060787200928,-0.4092741012573242,-0.3491353392601013,-0.04972522333264351,-0.3108310401439667,-0.3252184987068176,-0.4418373107910156,-0.3970176577568054,-0.5322078466415405,-0.502165675163269,-0.31735309958457947,-0.17074954509735107,-0.6020604968070984,-0.6154516935348511,-0.28845733404159546,-0.19794391095638275,-0.3315514028072357,-0.2798677086830139,-0.39833205938339233,-0.3842198848724365,-0.20402264595031738,-0.23800413310527802,-0.16328203678131104,-0.1361638307571411,-0.08895465731620789,-0.12647441029548645,0.047683656215667725,0.18038034439086914,0.3186948895454407,0.09936463832855225,0.19188515841960907,0.15932448208332062,-0.05220853164792061,-0.12643858790397644,-0.07991121709346771,-0.15011945366859436,-0.41777825355529785,0.5798124,0.6788945730585737,0.6397334957171078,0.2588530396133785,0.47863708802081323,0.10562970149482062,0.1950133,0.45
common_dolphin,0.3356811,0.28429744,0.103241585,0.3998609781265259,0.35933154821395874,0.5617383122444153,0.4198017120361328,0.05794919654726982,0.10949327051639557,0.265462726354599,0.2586309313774109,0.6033719182014465,0.6323496103286743,0.7444688677787781,0.5626523494720459,0.6278234124183655,0.5391401052474976,0.48306751251220703,0.6043945550918579,0.6860794425010681,0.6763447523117065,0.7614359855651855,0.30545973777770996,0.02990032359957695,0.17174296081066132,0.30183175206184387,0.49006909132003784,0.5786383152008057,0.4942132830619812,0.5706664323806763,0.4893140196800232,0.29846495389938354,0.1664973944425583,0.37796086072921753,0.3489067852497101,0.24711236357688904,0.16955044865608215,0.10647223889827728,0.4020220637321472,0.6566162705421448,0.5272254,0.71597076131409,0.5999800937267212,0.21330567622048793,0.4015376084667693,0.06448040381595124,0.2760785,0.391304347826087
common_dolphin,-2.5871167,-1.9642639,-2.329312,-2.360050678253174,-2.8257803916931152,-1.8806285858154297,-1.5685406923294067,-1.7458114624023438,-1.8831382989883423,-1.6334794759750366,-1.7019106149673462,-2.2027745246887207,-1.8175976276397705,-1.569772720336914,-1.9797439575195312,-2.439697504043579,-2.2909722328186035,-2.3974063396453857,-2.6058614253997803,-2.1842451095581055,-2.202317714691162,-1.989526391029358,-1.9213285446166992,-2.4174463748931885,-1.938184380531311,-2.2217209339141846,-2.953263998031616,-2.4938037395477295,-2.0072875022888184,-1.8045885562896729,-2.0020625591278076,-2.3677849769592285,-2.0557103157043457,-2.343827962875366,-2.6373071670532227,-2.0967769622802734,-1.8106155395507812,-1.928043007850647,-2.380807638168335,-2.1879642009735107,0.7932263,0.634838856670736,0.8089509879669876,0.6372720652601218,0.8772944627208943,0.36629753337838583,0.03963535,0.4736842105263158
