species,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
common_dolphin,-5.215636,-4.720504,-4.4068947,-4.177391052246094,-3.9052844047546387,-3.8103713989257812,-3.731383800506592,-3.1963772773742676,-3.5466084480285645,-3.9674019813537598,-3.1381962299346924,-3.1465015411376953,-3.7987518310546875,-3.912043809890747,-3.9370880126953125,-4.417862892150879,-4.781262397766113,-4.735604286193848,-4.828085899353027,-4.415490627288818,-4.4265828132629395,-4.530117988586426,-4.403902530670166,-4.3363776206970215,-4.249892234802246,-4.255940914154053,-4.214360237121582,-4.615731716156006,-4.810307502746582,-4.548999309539795,-4.589362144470215,-4.745885372161865,-4.362353324890137,-4.522948265075684,-4.931639671325684,-4.6867170333862305,-4.5351386070251465,-4.603927135467529,-5.042233467102051,-4.999805927276611
common_dolphin,-6.5109277,-6.071229,-5.9984217,-6.00921106338501,-5.899220943450928,-5.6127119064331055,-5.4793009757995605,-5.4329986572265625,-5.007161617279053,-5.360684871673584,-5.247725009918213,-4.860768795013428,-4.6899094581604,-4.903290271759033,-4.8549981117248535,-5.196920871734619,-4.8841447830200195,-4.511524200439453,-4.536627292633057,-4.557495594024658,-4.822345733642578,-4.763165473937988,-4.604750633239746,-4.383910179138184,-4.426074504852295,-4.734480857849121,-4.742585182189941,-4.700214862823486,-4.4739789962768555,-4.546753883361816,-3.731649875640869,-3.3970203399658203,-3.8593010902404785,-4.325806617736816,-3.8878302574157715,-3.6613643169403076,-4.093433380126953,-3.6681339740753174,-3.4853262901306152,-3.7884247303009033
common_dolphin,-3.9075055,-3.1235945,-3.102408,-2.955732822418213,-2.8887360095977783,-2.7394185066223145,-2.7548630237579346,-2.5311102867126465,-2.4862282276153564,-2.5615603923797607,-2.3656203746795654,-2.160737991333008,-2.0556752681732178,-2.1520214080810547,-2.0878355503082275,-2.096151351928711,-2.2097392082214355,-2.061467170715332,-2.063260078430176,-2.2385551929473877,-2.1555614471435547,-2.424077272415161,-2.7651970386505127,-2.5618722438812256,-2.487694263458252,-2.432035207748413,-2.506535053253174,-2.6477322578430176,-2.745326519012451,-2.4832797050476074,-2.2979767322540283,-2.6327285766601562,-2.9328207969665527,-2.886582136154175,-2.3430392742156982,-2.2369813919067383,-2.199145555496216,-2.201442003250122,-2.255500316619873,-2.309077501296997
common_dolphin,-4.4197536,-3.6235607,-3.2816265,-3.1848232746124268,-3.3076109886169434,-3.6157212257385254,-3.3166356086730957,-2.9874892234802246,-2.6925063133239746,-3.0454301834106445,-3.0214600563049316,-2.7896580696105957,-2.9277031421661377,-2.8761672973632812,-2.661921262741089,-2.905217409133911,-2.771036386489868,-2.6435317993164062,-2.864288568496704,-2.8317790031433105,-2.777665853500366,-2.995784282684326,-3.1089253425598145,-2.7916359901428223,-2.839066982269287,-2.7853755950927734,-2.482311964035034,-2.2582850456237793,-2.406972885131836,-2.683934211730957,-3.036262273788452,-2.721980333328247,-2.7420856952667236,-2.570470094680786,-2.3451313972473145,-2.281675338745117,-2.364496946334839,-2.343285083770752,-2.287644863128662,-2.6769983768463135
common_dolphin,-6.747485,-6.5425673,-6.175541,-6.151352882385254,-6.129152297973633,-5.737891674041748,-5.771161079406738,-5.255904674530029,-5.168172836303711,-5.371810436248779,-4.8225998878479,-4.236598014831543,-3.904345989227295,-4.118695259094238,-4.258070945739746,-4.029973030090332,-4.293210029602051,-4.133927822113037,-4.405677795410156,-4.114357948303223,-3.786734104156494,-3.9731974601745605,-4.019885063171387,-4.082980155944824,-4.157319068908691,-3.6661934852600098,-3.250645160675049,-3.5612494945526123,-4.261814594268799,-4.667140960693359,-4.951234817504883,-4.774538040161133,-4.712849140167236,-4.635173797607422,-4.636971950531006,-4.6784234046936035,-4.795792579650879,-4.736706733703613,-4.752156734466553,-4.616748809814453
common_dolphin,-2.6630669,-2.1706777,-2.1809373,-2.792559862136841,-3.661745071411133,-3.4934496879577637,-3.629828691482544,-3.5338058471679688,-3.031517267227173,-2.7803452014923096,-2.6174256801605225,-2.3961780071258545,-2.7621872425079346,-3.0995607376098633,-2.6408400535583496,-2.4291698932647705,-2.7859294414520264,-2.818448543548584,-2.8205254077911377,-2.9755501747131348,-3.075486660003662,-3.3142294883728027,-4.617321491241455,-4.7270402908325195,-4.5309882164001465,-4.522531986236572,-4.117810249328613,-4.404231071472168,-5.060509204864502,-4.8036394119262695,-4.660086631774902,-5.292048931121826,-5.129998207092285,-5.348604679107666,-5.195146083831787,-5.221261978149414,-5.01957893371582,-4.738425254821777,-5.48325252532959,-6.063901901245117
common_dolphin,-3.3425765,-2.7509677,-2.4384224,-2.3907856941223145,-2.3272650241851807,-2.2837111949920654,-2.037578821182251,-1.9177926778793335,-1.8619232177734375,-1.7545597553253174,-1.865562081336975,-1.9834026098251343,-1.8433263301849365,-1.645433783531189,-1.518771767616272,-1.6206398010253906,-1.4719005823135376,-1.4184939861297607,-1.2720911502838135,-1.0992295742034912,-0.960686206817627,-1.007503867149353,-1.3306587934494019,-1.3876346349716187,-1.4514793157577515,-1.2946927547454834,-0.7643798589706421,-0.8628799319267273,-0.9834909439086914,-1.0576010942459106,-1.0934498310089111,-1.0275710821151733,-1.1710008382797241,-1.1253931522369385,-1.277962565422058,-1.0062283277511597,-0.982410728931427,-1.1133105754852295,-1.2837331295013428,-1.4300687313079834
common_dolphin,-5.427804,-4.635892,-4.4000044,-4.407151699066162,-4.238272666931152,-4.03105354309082,-3.639070987701416,-3.7942092418670654,-3.7019119262695312,-3.7808518409729004,-3.7786121368408203,-3.8072333335876465,-3.7160820960998535,-3.469383955001831,-3.2880682945251465,-3.7046189308166504,-3.6283652782440186,-3.291902542114258,-3.1586246490478516,-3.2765274047851562,-3.183126926422119,-3.2551276683807373,-3.20344614982605,-3.0143744945526123,-3.0096182823181152,-2.9210891723632812,-2.86220121383667,-2.7782504558563232,-2.7745327949523926,-2.549149751663208,-2.4017298221588135,-2.2504353523254395,-2.444343090057373,-2.316331624984741,-2.331495761871338,-2.527743101119995,-2.6058974266052246,-2.584904432296753,-2.6998543739318848,-2.965067148208618
common_dolphin,-2.9817023,-2.9725528,-2.9759421,-2.6011221408843994,-2.5380146503448486,-2.203014850616455,-2.290712356567383,-2.5554401874542236,-2.4654572010040283,-2.270618438720703,-2.206963062286377,-1.8198646306991577,-1.79644775390625,-1.6424312591552734,-1.782989501953125,-1.6853361129760742,-1.734482765197754,-1.8262008428573608,-1.7130340337753296,-1.6181576251983643,-1.6434848308563232,-1.5694507360458374,-2.044856309890747,-2.3348093032836914,-2.1872506141662598,-2.0726802349090576,-1.9601459503173828,-1.9073505401611328,-1.9505901336669922,-1.8734874725341797,-2.0210602283477783,-2.228240966796875,-2.3311538696289062,-2.052976608276367,-2.0964772701263428,-2.132874011993408,-2.2079849243164062,-2.2682673931121826,-1.967063546180725,-1.7491929531097412
common_dolphin,-5.465888,-4.831649,-5.032524,-5.02738094329834,-5.409152984619141,-4.371143341064453,-4.032275199890137,-4.107152938842773,-4.225739002227783,-3.8810057640075684,-3.9318840503692627,-4.397879600524902,-4.036017417907715,-3.749201536178589,-4.133117198944092,-4.645436763763428,-4.476191520690918,-4.573581695556641,-4.835775375366211,-4.3608174324035645,-4.3894195556640625,-4.206860542297363,-4.173562049865723,-4.714720726013184,-4.2134528160095215,-4.472035884857178,-5.219316005706787,-4.7861104011535645,-4.293034553527832,-4.112292289733887,-4.307888507843018,-4.667705059051514,-4.33510684967041,-4.624483108520508,-4.934374809265137,-4.4252214431762695,-4.122367858886719,-4.215442180633545,-4.650577068328857,-4.438048362731934
